,CAS,logBCF,Dataset,SMILES
0,206-44-0,3.5,uci,c1ccc2c3c1c1ccccc1c3ccc2
1,4821-19-6,3.07,uci,Oc1c(cccc1C1CCCCC1)C1CCCCC1
2,50-29-3,3.95,uci,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl
3,500-28-7,1.55,uci,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1Cl
4,496-10-6,2.91,uci,C1C2C(CC1)CCCC2
5,493-01-6/493-02-7,3.37,uci,C1CCC2CCCCC2(C1)
6,4904-61-4,3.91,uci,C1CC=CCCC=CCCC=C1
7,4883-72-1,0.45,uci,ON(C1CCCCC1)N=O
8,488-23-3,2.82,uci,Cc1c(ccc(c1C)C)C
9,482-89-3,0.46,uci,O=C1c4ccccc4(NC1=C2Nc3ccccc3(C2(=O)))
10,479-27-6,0.78,uci,Nc1cccc2cccc(c12)N
11,50-31-7,0.31,uci,Clc1c(ccc(c1C(=O)O)Cl)Cl
12,475-03-6,3.33,uci,Cc1ccc2c(c1)CCCC2(C)C
13,47377-16-2,0.52,uci,OS(=O)(=O)c1ccc(cc1)CCCCCCCCCCCCCC
14,471-77-2,2.17,uci,O=C(O)C2(C)(CCCC3(C)(C1C(=CC(=C(C)C)CC1)CCC23))
15,4685-14-7,0.28,uci,C[n+]1ccc(cc1)c1cc[n+](cc1)C
16,462-08-8,0.07,uci,Nc1cnccc1
17,461-58-5,0.24,uci,NC(=N)NC#N
18,43222-48-6,1.3,uci,c1ccc(cc1)c3cc(c2ccccc2)[n+](n3C)C
19,43121-43-3,1.81,uci,O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C
20,50-30-6,0.02,uci,O=C(O)c1c(cccc1Cl)Cl
21,50-32-8,2.73,uci,c1cc2c3c4c(cc5c(c14)cccc5)ccc3ccc2
22,59722-76-8,2.02,uci,O=C1c2ccccc2C(=O)c2c1c(cc(c2N)Oc1ccc(cc1)Br)O
23,51235-04-2,0.84,uci,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C
24,52315-07-8,2.5,uci,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3
25,51892-26-3,3.97,uci,O(c1ccccc1)c2ccc(cc2Cl)Cl
26,51630-58-1,3.01,uci,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3
27,51-44-5,0.1,uci,O=C(O)c1ccc(c(c1)Cl)Cl
28,514-10-3,1.97,uci,O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))
29,51-28-5,0.31,uci,Oc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-]
30,512-56-1,-0.06,uci,O=P(OC)(OC)OC
31,5124-25-4,1.58,uci,O=[N+](c1c(ccc(c1)S(=O)(=O)Nc1ccccc1)Nc1ccccc1)[O-]
32,51207-31-9,3.69,uci,Clc1cc2c(oc3c2cc(c(c3)Cl)Cl)cc1Cl
33,50375-10-5,2.53,uci,O(c1c(ccc(c1Cl)Cl)Cl)C
34,510-15-6,2.71,uci,OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(=O)OCC
35,50925-42-3,0.5,uci,O=S(=O)(O)c7cccc6c7(cc(N=Nc1ccc(cc1C)Nc2nc(nc(n2)NCCO)Nc5ccc(N=Nc4cc3c(cccc3S(=O)(=O)O)c(c4)S(=O)(=O)O)c(c5)C)cc6S(=O)(=O)O)
36,50876-32-9,3.65,uci,CC1(CC(CC(C1)C)C)C
37,50853-70-8,0.74,uci,CC1=CC2CC1C(C2C(=O)O)C(=O)O
38,50512-35-1,1.57,uci,O=C(OC(C)C)C(C(=O)OC(C)C)=C1SCCS1
39,504-29-0,1.04,uci,Nc1ncccc1
40,504-24-5,0.44,uci,Nc1ccncc1
41,504-03-0,0.45,uci,N1C(C)CCCC1C
42,4292-75-5,3.29,uci,CCCCCCC1CCCCC1
43,42874-03-3,3.21,uci,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC)
44,42576-02-3,3.18,uci,O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-]
45,38411-22-2,5.43,uci,Clc1ccc(c(c1c1c(Cl)ccc(c1Cl)Cl)Cl)Cl
46,39227-28-6,4.0,uci,O1c3ccc(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl
47,39001-02-0,2.89,uci,o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl
48,3864-99-1,3.57,uci,Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n1nc2c(n1)cc(cc2)Cl
49,38640-62-9,3.27,uci,c2cc1ccc(cc1c(c2)C(C)C)C(C)C
50,3846-71-7,3.68,uci,Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n2nc3ccccc3(n2)
51,38444-93-8,4.2,uci,Clc1c(cccc1Cl)c1c(c(ccc1)Cl)Cl
52,38444-90-5,4.58,uci,Clc1ccc(cc1)c1ccc(c(c1)Cl)Cl
53,38444-86-9,4.57,uci,Clc1cc(ccc1Cl)c1ccccc1Cl
54,38380-08-4,5.88,uci,Clc1ccc(cc1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl
55,42240-73-3,3.41,uci,Nc2ccc(c1ccc(N)c(c1Cl)Cl)c(c2Cl)Cl
56,38380-07-3,5.77,uci,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl
57,38380-03-9,5.18,uci,Clc1cc(ccc1Cl)c1c(Cl)ccc(c1Cl)Cl
58,38380-02-8,4.7,uci,Clc1c(ccc(c1Cl)Cl)c1cc(ccc1Cl)Cl
59,3811-49-2,1.35,uci,O2c1ccccc1COP2(OC)=S
60,37680-73-2,5.05,uci,Clc1c(cc(c(c1)Cl)Cl)c1cc(ccc1Cl)Cl
61,37680-65-2,4.23,uci,c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl
